,Portfolio_Return
2026-04-10 15:50:00,0.0003138143662339122
2026-04-10 15:55:00,0.0008925453835496359
2026-04-13 09:30:00,-0.0015472709216461762
2026-04-13 09:35:00,-0.0005079871904923824
2026-04-13 09:40:00,-9.682002307540153e-05
2026-04-13 09:45:00,0.001976358865879084
2026-04-13 09:50:00,-0.0009432429068086034
2026-04-13 09:55:00,0.0017452124206393757
2026-04-13 10:00:00,-0.0024693355059022502
2026-04-13 10:05:00,0.0007436049888213329
2026-04-13 10:10:00,0.0005316957826089245
2026-04-13 10:15:00,0.00012591283890963512
2026-04-13 10:20:00,1.1566905733826702e-05
2026-04-13 10:25:00,-2.4187186136892023e-05
2026-04-13 10:30:00,0.00011982833688592742
2026-04-13 10:35:00,-0.00019154821179019719
2026-04-13 10:40:00,0.00020660376019875502
2026-04-13 10:45:00,-0.0009235888452418894
2026-04-13 10:50:00,1.9004337301374192e-05
2026-04-13 10:55:00,0.0005726410393144619
2026-04-13 11:00:00,-0.00048525660843392666
2026-04-13 11:05:00,-0.0004081283307126502
2026-04-13 11:10:00,0.0001532754017549324
2026-04-13 11:15:00,-0.000456679148596271
2026-04-13 11:20:00,-0.0002093501396872956
2026-04-13 11:25:00,-8.191730339934954e-05
2026-04-13 11:30:00,-0.00013595549277435986
2026-04-13 11:35:00,0.00010317803481666007
2026-04-13 11:40:00,-0.0002629275635280142
2026-04-13 11:45:00,-0.00036341160513328295
2026-04-13 11:50:00,0.00032168927835314175
2026-04-13 11:55:00,0.00034830613382890206
2026-04-13 12:00:00,5.765414834273443e-05
2026-04-13 12:05:00,0.0011873069518256812
2026-04-13 12:10:00,0.0007712554123014989
2026-04-13 12:15:00,0.0002369873973589491
2026-04-13 12:20:00,0.0007644051217773456
2026-04-13 12:25:00,0.0004960000819366913
2026-04-13 12:30:00,0.0005308875471257053
2026-04-13 12:35:00,0.00023195620343552693
2026-04-13 12:40:00,5.021254579206216e-05
2026-04-13 12:45:00,0.0007918962692425432
2026-04-13 12:50:00,4.5885973885936866e-05
2026-04-13 12:55:00,0.00017695428655143351
2026-04-13 13:00:00,0.0003968115201654712
2026-04-13 13:05:00,-0.00011122185569040335
2026-04-13 13:10:00,-0.0002771811139324846
2026-04-13 13:15:00,0.00021416969185755682
2026-04-13 13:20:00,-0.0003876087885380701
2026-04-13 13:25:00,0.00020747036260632817
2026-04-13 13:30:00,3.2060339717773966e-05
2026-04-13 13:35:00,-0.00030534132715516016
2026-04-13 13:40:00,-0.0003300949023319269
2026-04-13 13:45:00,6.115537745280848e-05
2026-04-13 13:50:00,0.00031015610611366843
2026-04-13 13:55:00,-7.54820450896592e-05
2026-04-13 14:00:00,0.00011867737024660432
2026-04-13 14:05:00,0.00038868237124865
2026-04-13 14:10:00,0.00041442062916848335
2026-04-13 14:15:00,-0.00011815235197476237
2026-04-13 14:20:00,-3.0910845124241545e-05
2026-04-13 14:25:00,-0.00013236405598121624
2026-04-13 14:30:00,-0.00011958384792295011
2026-04-13 14:35:00,6.719057478769483e-05
2026-04-13 14:40:00,0.0002060982569864401
2026-04-13 14:45:00,0.0005682123418904605
2026-04-13 14:50:00,0.00010254927500519628
2026-04-13 14:55:00,2.1481267313703413e-05
2026-04-13 15:00:00,0.0001226124884501989
2026-04-13 15:05:00,-0.00012118603434570224
2026-04-13 15:10:00,-0.00023426765528012215
2026-04-13 15:15:00,0.000355900120776551
2026-04-13 15:20:00,0.00041474408363758165
2026-04-13 15:25:00,0.00032483964775081934
2026-04-13 15:30:00,-7.455323533665719e-05
2026-04-13 15:35:00,0.00022219092126673758
2026-04-13 15:40:00,0.0001396675605910985
2026-04-13 15:45:00,-0.0003223048592619422
2026-04-13 15:50:00,0.002614681168684926
2026-04-13 15:55:00,0.0005779916195915069
2026-04-14 09:30:00,-0.0011030068702211843
2026-04-14 09:35:00,0.0029289915482877153
2026-04-14 09:40:00,-0.001001847688464271
2026-04-14 09:45:00,-0.0007302421013694641
2026-04-14 09:50:00,-0.0005509258689149052
2026-04-14 09:55:00,0.0016335342295309145
2026-04-14 10:00:00,0.00028539628498129685
2026-04-14 10:05:00,0.0005192862161012524
2026-04-14 10:10:00,0.0002442887463136007
2026-04-14 10:15:00,0.00021434825539704921
2026-04-14 10:20:00,-0.00047668448914373594
2026-04-14 10:25:00,-0.0004189337839869457
2026-04-14 10:30:00,-0.00019167144787788466
2026-04-14 10:35:00,-0.00027970708453314033
2026-04-14 10:40:00,0.00036379028570450954
2026-04-14 10:45:00,0.0010052006867993812
2026-04-14 10:50:00,0.0002514103909067488
2026-04-14 10:55:00,0.00022666493318429306
2026-04-14 11:00:00,-0.00018923838410433113
2026-04-14 11:05:00,-0.00010234601663908861
2026-04-14 11:10:00,-0.000434309363336853
2026-04-14 11:15:00,0.0006855269669758248
2026-04-14 11:20:00,0.0003082401882247455
2026-04-14 11:25:00,0.0004650275682303504
2026-04-14 11:30:00,-0.0001340476032542786
2026-04-14 11:35:00,-0.00013015267921909443
